=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-25_0-7-18
====================================================================================
1:4:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.877930, 12.624187, 423.033295>)
1:4:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6985.957031, 13.126817, 423.329742>)
1:4:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.024902, 13.109744, 423.606384>)
1:4:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.127930, 12.785337, 423.945435>)
1:4:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.229004, 12.110052, 424.285919>)
1:4:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.338867, 11.048431, 424.426147>)
1:4:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.208984, 11.077299, 424.575226>)
1:4:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.270020, 12.207427, 424.754150>)
1:4:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.314941, 12.733646, 425.092773>)
1:4:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.354004, 12.993945, 425.435242>)
1:4:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.429199, 12.701645, 425.683838>)
1:4:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.504883, 12.718420, 426.019684>)
1:4:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.445801, 10.769583, 426.012939>)
1:4:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.491211, 12.280267, 426.205017>)
1:4:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.533691, 12.254567, 426.257263>)
1:4:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.645020, 13.313939, 426.420959>)
1:4:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.690430, 14.189008, 426.533234>)
1:4:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.700195, 14.689498, 426.786621>)
1:4:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.709961, 15.183214, 427.059143>)
1:4:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.747559, 15.156322, 427.317963>)
1:4:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.812988, 14.953248, 427.584839>)
1:4:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.812012, 13.862386, 427.770721>)
1:4:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.806641, 12.602865, 428.076843>)
